cif,formula,sgnum,WyckOcc,sitios,elements,atoms,target
1010424,SrZrO3,221,"{0: {'a': {'Sr2+': 1}}, 1: {'b': {'Zr4+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,5.0,7
1010425,SrHfO3,221,"{0: {'a': {'Sr2+': 1}}, 1: {'b': {'Hf4+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,5.0,7
1010900,CsIO3,221,"{0: {'a': {'Cs+': 1}}, 1: {'b': {'I5+': 1}}, 2: {'d': {'O2-': 1}}}",3,3.0,5.0,7
1010902,TiCdO3,221,"{0: {'a': {'Cd2+': 1}}, 1: {'b': {'Ti4+': 1}}, 2: {'d': {'O2-': 1}}}",3,3.0,5.0,7
1010928,CaCO3,167,"{0: {'a': {'C4+': 1}}, 1: {'b': {'Ca2+': 1}}, 2: {'e': {'O2-': 1}}}",3,3.0,30.0,7
1010932,Na3AlF6,14,"{0: {'a': {'Al3+': 1}}, 1: {'d': {'Na+': 1}}, 2: {'e': {'Na+': 1}}, 3: {'e': {'F-': 1}}, 4: {'e': {'F-': 1}}, 5: {'e': {'F-': 1}}}",6,3.0,20.0,7
1011000,Na0.5Ca0.2Ce0.3Ti0.8Nb0.2O3,221,"{0: {'a': {'Na+': 0.5, 'Ce3+': 0.3, 'Ca2+': 0.2}}, 1: {'b': {'Nb5+': 0.2, 'Ti4+': 0.8}}, 2: {'c': {'O2-': 1}}}",3,6.0,5.0,7
1011029,NaNO3,167,"{0: {'a': {'N5+': 1}}, 1: {'b': {'Na+': 1}}, 2: {'e': {'O2-': 1}}}",3,3.0,30.0,7
1011064,NaNbO3,221,"{0: {'a': {'Na+': 1}}, 1: {'b': {'Nb5+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,5.0,7
1011211,CaTiO3,221,"{0: {'a': {'Ca2+': 1}}, 1: {'b': {'Ti4+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,5.0,7
1011212,Na0.3Ca0.7Ti0.7Nb0.3O3,221,"{0: {'a': {'Na+': 0.3, 'Ca2+': 0.7}}, 1: {'b': {'Nb5+': 0.3, 'Ti4+': 0.7}}, 2: {'c': {'O2-': 1}}}",3,5.0,5.0,7
1011228,MnCO3,167,"{0: {'a': {'C4+': 1}}, 1: {'b': {'Mn2+': 1}}, 2: {'e': {'O2-': 1}}}",3,3.0,30.0,7
1011340,LiNO3,167,"{0: {'a': {'N5+': 1}}, 1: {'b': {'Li+': 1}}, 2: {'e': {'O2-': 1}}}",3,3.0,30.0,7
1100063,MgNi3C,221,"{0: {'a': {'Mg2+': 1}}, 1: {'b': {'C4+': 1}}, 2: {'c': {'Ni2-': 1}}}",3,3.0,5.0,7
1101016,Sr3.852Pr4O12,62,"{0: {'b': {'Pr': 1}}, 1: {'c': {'Sr': 0.963}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,19.852,7
1200014,CaMg(CO3)2,148,"{0: {'a': {'Ca2+': 1}}, 1: {'b': {'Mg2+': 1}}, 2: {'c': {'C4+': 1}}, 3: {'f': {'O2-': 1}}}",4,4.0,30.0,7
1501486,Mg0.213Ti0.36Nb0.427Pb1O3,221,"{0: {'a': {'Pb2+': 1}}, 1: {'b': {'Mg2+': 0.213, 'Ti4+': 0.36, 'Nb5+': 0.427}}, 2: {'c': {'O2-': 1}}}",3,5.0,5.0,7
1501488,Mg0.227Ti0.32Nb0.453Pb1O3,221,"{0: {'a': {'Pb2+': 1}}, 1: {'b': {'Mg2+': 0.227, 'Ti4+': 0.32, 'Nb5+': 0.453}}, 2: {'c': {'O2-': 1}}}",3,5.0,5.0,7
1501497,Mg0.237Ti0.29Nb0.473Pb1O3,221,"{0: {'a': {'Pb2+': 1}}, 1: {'b': {'Mg2+': 0.237, 'Ti4+': 0.29, 'Nb5+': 0.473}}, 2: {'c': {'O2-': 1}}}",3,5.0,5.0,7
1501507,Mg0.25Ti0.25Nb0.5Pb1O3,221,"{0: {'a': {'Pb2+': 1}}, 1: {'b': {'Mg2+': 0.25, 'Ti4+': 0.25, 'Nb5+': 0.5}}, 2: {'c': {'O2-': 1}}}",3,5.0,5.0,7
1508503,LaAlO3,167,"{0: {'a': {'La3+': 1}}, 1: {'b': {'Al3+': 1}}, 2: {'e': {'O2-': 1}}}",3,3.0,30.0,7
1509285,Cs2KAgF6,225,"{0: {'a': {'Ag': 1}}, 1: {'b': {'K': 1}}, 2: {'c': {'Cs': 1}}, 3: {'e': {'F': 1}}}",4,4.0,40.0,7
1509463,Mn3AgN,221,"{0: {'a': {'Ag': 1}}, 1: {'b': {'N': 1}}, 2: {'c': {'Mn': 1}}}",3,3.0,5.0,7
1510068,Ca3AuN,221,"{0: {'a': {'Au': 1}}, 1: {'b': {'N': 1}}, 2: {'c': {'Ca': 1}}}",3,3.0,5.0,7
1510091,CsAuCl3,221,"{0: {'a': {'Au': 1}}, 1: {'b': {'Cs': 1}}, 2: {'d': {'Cl': 1}}}",3,3.0,5.0,7
1510134,Eu3AuO6,2,"{0: {'a': {'Au': 1}}, 1: {'b': {'Eu': 1}}, 2: {'i': {'Eu': 1}}, 3: {'i': {'O': 1}}, 4: {'i': {'O': 1}}, 5: {'i': {'O': 1}}}",6,3.0,10.0,7
1510162,Gd3AuO6,2,"{0: {'a': {'Au': 1}}, 1: {'b': {'Gd': 1}}, 2: {'i': {'Gd': 1}}, 3: {'i': {'O': 1}}, 4: {'i': {'O': 1}}, 5: {'i': {'O': 1}}}",6,3.0,10.0,7
1510209,K3AuO,221,"{0: {'a': {'Au': 1}}, 1: {'b': {'O': 1}}, 2: {'c': {'K': 1}}}",3,3.0,5.0,7
1510243,V3AuN,221,"{0: {'a': {'N': 1}}, 1: {'b': {'Au': 1}}, 2: {'c': {'V': 1}}}",3,3.0,5.0,7
1510260,Rb3AuO,221,"{0: {'a': {'Au': 1}}, 1: {'b': {'O': 1}}, 2: {'c': {'Rb': 1}}}",3,3.0,5.0,7
1510265,Sm3AuO6,2,"{0: {'a': {'Au': 1}}, 1: {'b': {'Sm': 1}}, 2: {'i': {'Sm': 1}}, 3: {'i': {'O': 1}}, 4: {'i': {'O': 1}}, 5: {'i': {'O': 1}}}",6,3.0,10.0,7
1510753,MgSn(BO3)2,148,"{0: {'a': {'Mg': 1}}, 1: {'b': {'Sn': 1}}, 2: {'c': {'B': 1}}, 3: {'f': {'O': 1}}}",4,4.0,30.0,7
1510791,Ca0.06Mn2.49Fe0.45Sn3B6O18,148,"{0: {'a': {'Sn': 1}}, 1: {'b': {'Ca': 0.02, 'Mn': 0.83, 'Fe': 0.15}}, 2: {'c': {'B': 1}}, 3: {'f': {'O': 1}}}",4,6.0,30.0,7
1511029,CeBPd3,221,"{0: {'a': {'Ce': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
1511032,CeBRh3,221,"{0: {'a': {'Ce': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Rh': 1}}}",3,3.0,5.0,7
1511101,Er1B1Rh1.8Pt1.2,221,"{0: {'a': {'Er': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pt': 0.4, 'Rh': 0.6}}}",3,4.0,5.0,7
